time,x,y,RSS,distance,tag_id
1619189994599260330,0.0,0.0,-96,16473,27169
1619189994750491142,-0.0031250000000003315,0.004687500000000001,-96,16440,27169
1619189995056868314,-0.0031250000000003315,0.004687500000000001,-96,16449,27169
1619189995213628053,-0.0031250000000003315,0.004687500000000001,-96,16440,27169
1619189995376964330,-0.0031250000000003315,0.004687500000000001,-97,16435,27169
1619189995539857864,-0.0031250000000003315,0.004687500000000001,-95,16440,27169
1619189995702861070,-0.0031250000000003315,0.004687500000000001,-96,16431,27169
1619189995857310295,-0.0031250000000003315,0.004687500000000001,-96,16408,27169
1619189996149602413,-0.0031250000000003315,0.004687500000000001,-96,16398,27169
1619189996310741424,-0.006250000000000331,0.0015625000000000005,-97,16422,27169
1619189996479473114,-0.006250000000000331,0.0015625000000000005,-96,16380,27169
1619189996637696743,-0.006250000000000331,0.0015625000000000005,-96,16431,27169
1619189996792912721,-0.006250000000000331,0.0015625000000000005,-95,16435,27169
1619189997100138902,-0.006250000000000331,0.0015625000000000005,-96,16417,27169
1619189997259449243,-0.006250000000000331,0.0015625000000000005,-96,16394,27169
1619189997408804893,-0.006250000000000331,0.0015625000000000005,-96,16445,27169
1619189997569031000,-0.006250000000000331,0.0015625000000000005,-96,16463,27169
1619189997885689258,-0.006250000000000331,0.0015625000000000005,-97,16436,27169
1619189998022525787,-0.006250000000000331,0.0015625000000000005,-95,16398,27169
1619189998184135198,-0.006250000000000331,0.0015625000000000005,-96,16431,27169
1619189998350200653,-0.006250000000000331,0.0015625000000000005,-96,16422,27169
1619189998510729789,-0.006250000000000331,0.0015625000000000005,-96,16440,27169
1619189998674692869,-0.006250000000000331,0.0015625000000000005,-96,16398,27169
1619189998840926170,-0.006250000000000331,0.0015625000000000005,-96,16435,27169
1619189998993799686,-0.006250000000000331,0.0015625000000000005,-96,16398,27169
1619189999143442869,-0.006250000000000331,0.0015625000000000005,-96,16412,27169
1619189999306216239,-0.0031250000000003306,0.004687500000000001,-96,16408,27169
1619189999461745977,-0.0031250000000003306,0.004687500000000001,-96,16417,27169
1619189999776916742,-0.0031250000000003306,0.004687500000000001,-96,16403,27169
1619189999944625139,-0.0031250000000003306,0.004687500000000001,-96,16449,27169
1619190000101248264,-0.0031250000000003306,0.004687500000000001,-96,16436,27169
1619190000424235820,-0.0031250000000003306,0.004687500000000001,-96,16463,27169
1619190000584832429,-0.0031250000000003306,0.004687500000000001,-96,16422,27169
1619190000747851610,-0.0031250000000003306,0.004687500000000001,-96,16440,27169
1619190000910634517,-0.0031250000000003306,0.004687500000000001,-96,16370,27169
1619190001076884508,-0.0031250000000003306,0.004687500000000001,-96,16426,27169
1619190001231456279,-0.0031250000000003306,0.004687500000000001,-96,16389,27169
1619190001394707202,-0.0031250000000003306,0.004687500000000001,-96,16431,27169
1619190001563543319,-0.0031250000000003306,0.004687500000000001,-96,16436,27169
1619190001733524799,-0.0031250000000003306,0.004687500000000001,-96,16436,27169
1619190001890364170,-0.0031250000000003306,0.004687500000000001,-95,16436,27169
1619190002041493654,-0.0031250000000003306,0.004687500000000001,-96,16431,27169
1619190002199620008,-0.0031250000000003306,0.004687500000000001,-96,16398,27169
1619190002359441995,0.0015624999999996696,0.004687500000000001,-96,16449,27169
1619190002525053977,0.0015624999999996696,0.0046875000000000016,-96,16431,27169
1619190002692549228,0.0015624999999996696,0.004687500000000001,-96,16445,27169
1619190002997495889,0.0015624999999996696,0.004687500000000001,-96,16454,27169
1619190003162821531,0.0015624999999996696,0.004687500000000001,-96,16403,27169
1619190003324001073,0.0015624999999996696,0.004687500000000001,-96,16417,27169
1619190003634006500,0.0015624999999996696,0.004687500000000001,-96,16445,27169
1619190003789466381,0.0015624999999996696,0.0046875,-96,16417,27169
1619190003946297645,0.0015624999999996696,0.004687500000000001,-96,16422,27169
1619190004108141422,0.0015624999999996696,0.004687500000000001,-96,16408,27169
1619190004276737689,0.0015624999999996696,0.004687500000000001,-96,16431,27169
1619190004440842866,0.0015624999999996696,0.004687500000000001,-96,16426,27169
1619190004605722904,0.0015624999999996696,0.004687500000000001,-95,16426,27169
1619190004753703355,0.0015624999999996698,0.0046875000000000016,-96,16463,27169
1619190004920366525,0.0015624999999996696,0.004687500000000001,-95,16449,27169
1619190005065588712,0.0015624999999996696,0.004687500000000001,-95,16454,27169
1619190005216399908,0.0015624999999996696,0.004687500000000001,-95,16459,27169
1619190005375627756,-0.011340809073333055,0.0018200979837038399,-95,16431,27169
1619190005532157659,-0.01250000000000033,0.0015625000000000005,-96,16468,27169
1619190005693441629,-0.012500000000000332,0.0015625000000000005,-96,16422,27169
